nohup: 忽略输入
i: 1 | n_features : 20 | start
i: 6 | n_features : 11 | start
i: 6 | n_features : 11 | end
i: 6 | n_features : 10 | start
i: 6 | n_features : 10 | end
i: 6 | n_features : 9 | start
i: 6 | n_features : 9 | end
i: 6 | n_features : 8 | start
i: 6 | n_features : 8 | end
i: 6 | n_features : 7 | start
i: 6 | n_features : 7 | end
i: 6 | n_features : 6 | start
i: 6 | n_features : 6 | end
i: 6 | n_features : 5 | start
i: 6 | n_features : 5 | end
i: 7 | n_features : 20 | start
i: 7 | n_features : 20 | end
i: 7 | n_features : 19 | start
i: 7 | n_features : 19 | end
i: 7 | n_features : 18 | start
i: 7 | n_features : 18 | end
i: 7 | n_features : 17 | start
i: 7 | n_features : 17 | end
i: 7 | n_features : 16 | start
i: 7 | n_features : 16 | end
i: 7 | n_features : 15 | start
i: 7 | n_features : 15 | end
i: 7 | n_features : 14 | start
i: 7 | n_features : 14 | end
i: 7 | n_features : 13 | start
i: 7 | n_features : 13 | end
i: 7 | n_features : 12 | start
i: 7 | n_features : 12 | end
i: 7 | n_features : 11 | start
i: 7 | n_features : 11 | end
i: 7 | n_features : 10 | start
i: 7 | n_features : 10 | end
i: 7 | n_features : 9 | start
i: 7 | n_features : 9 | end
i: 7 | n_features : 8 | start
i: 7 | n_features : 8 | end
i: 7 | n_features : 7 | start
i: 7 | n_features : 7 | end
i: 7 | n_features : 6 | start
i: 7 | n_features : 6 | end
i: 7 | n_features : 5 | start
i: 7 | n_features : 5 | end
i: 8 | n_features : 20 | start
i: 8 | n_features : 20 | end
i: 8 | n_features : 19 | start
i: 8 | n_features : 19 | end
i: 8 | n_features : 18 | start
i: 8 | n_features : 18 | end
i: 8 | n_features : 17 | start
i: 8 | n_features : 17 | end
i: 8 | n_features : 16 | start
i: 8 | n_features : 16 | end
i: 8 | n_features : 15 | start
i: 8 | n_features : 15 | end
i: 8 | n_features : 14 | start
i: 8 | n_features : 14 | end
i: 8 | n_features : 13 | start
i: 8 | n_features : 13 | end
i: 8 | n_features : 12 | start
i: 8 | n_features : 12 | end
i: 8 | n_features : 11 | start
i: 8 | n_features : 11 | end
i: 8 | n_features : 10 | start
i: 8 | n_features : 10 | end
i: 8 | n_features : 9 | start
i: 8 | n_features : 9 | end
i: 8 | n_features : 8 | start
i: 8 | n_features : 8 | end
i: 8 | n_features : 7 | start
i: 8 | n_features : 7 | end
i: 8 | n_features : 6 | start
i: 8 | n_features : 6 | end
i: 8 | n_features : 5 | start
i: 8 | n_features : 5 | end
i: 9 | n_features : 20 | start
i: 9 | n_features : 20 | end
i: 9 | n_features : 19 | start
i: 9 | n_features : 19 | end
i: 9 | n_features : 18 | start
i: 9 | n_features : 18 | end
i: 9 | n_features : 17 | start
i: 9 | n_features : 17 | end
i: 9 | n_features : 16 | start
i: 9 | n_features : 16 | end
i: 9 | n_features : 15 | start
i: 9 | n_features : 15 | end
i: 9 | n_features : 14 | start
i: 9 | n_features : 14 | end
i: 9 | n_features : 13 | start
i: 9 | n_features : 13 | end
i: 9 | n_features : 12 | start
i: 9 | n_features : 12 | end
i: 9 | n_features : 11 | start
i: 9 | n_features : 11 | end
i: 9 | n_features : 10 | start
i: 9 | n_features : 10 | end
i: 9 | n_features : 9 | start
i: 9 | n_features : 9 | end
i: 9 | n_features : 8 | start
i: 9 | n_features : 8 | end
i: 9 | n_features : 7 | start
i: 9 | n_features : 7 | end
i: 9 | n_features : 6 | start
i: 9 | n_features : 6 | end
i: 9 | n_features : 5 | start
i: 9 | n_features : 5 | end
i: 10 | n_features : 20 | start
i: 10 | n_features : 20 | end
i: 10 | n_features : 19 | start
i: 10 | n_features : 19 | end
i: 10 | n_features : 18 | start
i: 10 | n_features : 18 | end
i: 10 | n_features : 17 | start
i: 10 | n_features : 17 | end
i: 10 | n_features : 16 | start
i: 10 | n_features : 16 | end
i: 10 | n_features : 15 | start
i: 10 | n_features : 15 | end
i: 10 | n_features : 14 | start
i: 10 | n_features : 14 | end
i: 10 | n_features : 13 | start
i: 10 | n_features : 13 | end
i: 10 | n_features : 12 | start
i: 10 | n_features : 12 | end
i: 10 | n_features : 11 | start
i: 10 | n_features : 11 | end
i: 10 | n_features : 10 | start
i: 10 | n_features : 10 | end
i: 10 | n_features : 9 | start
i: 10 | n_features : 9 | end
i: 10 | n_features : 8 | start
i: 10 | n_features : 8 | end
i: 10 | n_features : 7 | start
i: 10 | n_features : 7 | end
i: 10 | n_features : 6 | start
i: 10 | n_features : 6 | end
i: 10 | n_features : 5 | start
i: 10 | n_features : 5 | end
i: 11 | n_features : 20 | start
i: 11 | n_features : 20 | end
i: 11 | n_features : 19 | start
i: 11 | n_features : 19 | end
i: 11 | n_features : 18 | start
i: 11 | n_features : 18 | end
i: 11 | n_features : 17 | start
i: 11 | n_features : 17 | end
i: 11 | n_features : 16 | start
i: 11 | n_features : 16 | end
i: 11 | n_features : 15 | start
i: 11 | n_features : 15 | end
i: 11 | n_features : 14 | start
i: 11 | n_features : 14 | end
i: 11 | n_features : 13 | start
i: 11 | n_features : 13 | end
i: 11 | n_features : 12 | start
i: 11 | n_features : 12 | end
i: 11 | n_features : 11 | start
i: 11 | n_features : 11 | end
i: 11 | n_features : 10 | start
i: 11 | n_features : 10 | end
i: 11 | n_features : 9 | start
i: 11 | n_features : 9 | end
i: 11 | n_features : 8 | start
i: 11 | n_features : 8 | end
i: 11 | n_features : 7 | start
i: 11 | n_features : 7 | end
i: 11 | n_features : 6 | start
i: 11 | n_features : 6 | end
i: 11 | n_features : 5 | start
i: 11 | n_features : 5 | end
i: 12 | n_features : 20 | start
i: 12 | n_features : 20 | end
i: 12 | n_features : 19 | start
i: 12 | n_features : 19 | end
i: 12 | n_features : 18 | start
i: 12 | n_features : 18 | end
i: 12 | n_features : 17 | start
i: 12 | n_features : 17 | end
i: 12 | n_features : 16 | start
i: 12 | n_features : 16 | end
i: 12 | n_features : 15 | start
i: 12 | n_features : 15 | end
i: 12 | n_features : 14 | start
i: 12 | n_features : 14 | end
i: 12 | n_features : 13 | start
i: 12 | n_features : 13 | end
i: 12 | n_features : 12 | start
i: 12 | n_features : 12 | end
i: 12 | n_features : 11 | start
i: 12 | n_features : 11 | end
i: 12 | n_features : 10 | start
i: 12 | n_features : 10 | end
i: 12 | n_features : 9 | start
i: 12 | n_features : 9 | end
i: 12 | n_features : 8 | start
i: 12 | n_features : 8 | end
i: 12 | n_features : 7 | start
i: 12 | n_features : 7 | end
i: 12 | n_features : 6 | start
i: 12 | n_features : 6 | end
i: 12 | n_features : 5 | start
i: 12 | n_features : 5 | end
i: 13 | n_features : 20 | start
i: 13 | n_features : 20 | end
i: 13 | n_features : 19 | start
i: 13 | n_features : 19 | end
i: 13 | n_features : 18 | start
i: 13 | n_features : 18 | end
i: 13 | n_features : 17 | start
i: 13 | n_features : 17 | end
i: 13 | n_features : 16 | start
i: 13 | n_features : 16 | end
i: 13 | n_features : 15 | start
i: 13 | n_features : 15 | end
i: 13 | n_features : 14 | start
i: 13 | n_features : 14 | end
i: 13 | n_features : 13 | start
i: 13 | n_features : 13 | end
i: 13 | n_features : 12 | start
i: 13 | n_features : 12 | end
i: 13 | n_features : 11 | start
i: 13 | n_features : 11 | end
i: 13 | n_features : 10 | start
i: 13 | n_features : 10 | end
i: 13 | n_features : 9 | start
i: 13 | n_features : 9 | end
i: 13 | n_features : 8 | start
i: 13 | n_features : 8 | end
i: 13 | n_features : 7 | start
i: 13 | n_features : 7 | end
i: 13 | n_features : 6 | start
i: 13 | n_features : 6 | end
i: 13 | n_features : 5 | start
i: 13 | n_features : 5 | end
i: 14 | n_features : 20 | start
i: 14 | n_features : 20 | end
i: 14 | n_features : 19 | start
i: 14 | n_features : 19 | end
i: 14 | n_features : 18 | start
i: 14 | n_features : 18 | end
i: 14 | n_features : 17 | start
i: 14 | n_features : 17 | end
i: 14 | n_features : 16 | start
i: 14 | n_features : 16 | end
i: 14 | n_features : 15 | start
i: 14 | n_features : 15 | end
i: 14 | n_features : 14 | start
i: 14 | n_features : 14 | end
i: 14 | n_features : 13 | start
i: 14 | n_features : 13 | end
i: 14 | n_features : 12 | start
i: 14 | n_features : 12 | end
i: 14 | n_features : 11 | start
i: 14 | n_features : 11 | end
i: 14 | n_features : 10 | start
i: 14 | n_features : 10 | end
i: 14 | n_features : 9 | start
i: 14 | n_features : 9 | end
i: 14 | n_features : 8 | start
i: 14 | n_features : 8 | end
i: 14 | n_features : 7 | start
i: 14 | n_features : 7 | end
i: 14 | n_features : 6 | start
i: 14 | n_features : 6 | end
i: 14 | n_features : 5 | start
i: 14 | n_features : 5 | end
i: 15 | n_features : 20 | start
i: 15 | n_features : 20 | end
i: 15 | n_features : 19 | start
i: 15 | n_features : 19 | end
i: 15 | n_features : 18 | start
i: 15 | n_features : 18 | end
i: 15 | n_features : 17 | start
i: 15 | n_features : 17 | end
i: 15 | n_features : 16 | start
i: 15 | n_features : 16 | end
i: 15 | n_features : 15 | start
i: 15 | n_features : 15 | end
i: 15 | n_features : 14 | start
i: 15 | n_features : 14 | end
i: 15 | n_features : 13 | start
i: 15 | n_features : 13 | end
i: 15 | n_features : 12 | start
i: 15 | n_features : 12 | end
i: 15 | n_features : 11 | start
i: 15 | n_features : 11 | end
i: 15 | n_features : 10 | start
i: 15 | n_features : 10 | end
i: 15 | n_features : 9 | start
i: 15 | n_features : 9 | end
i: 15 | n_features : 8 | start
i: 15 | n_features : 8 | end
i: 15 | n_features : 7 | start
i: 15 | n_features : 7 | end
i: 15 | n_features : 6 | start
i: 15 | n_features : 6 | end
i: 15 | n_features : 5 | start
i: 15 | n_features : 5 | end
i: 16 | n_features : 20 | start
i: 16 | n_features : 20 | end
i: 16 | n_features : 19 | start
i: 16 | n_features : 19 | end
i: 16 | n_features : 18 | start
i: 16 | n_features : 18 | end
i: 16 | n_features : 17 | start
i: 16 | n_features : 17 | end
i: 16 | n_features : 16 | start
i: 16 | n_features : 16 | end
i: 16 | n_features : 15 | start
i: 16 | n_features : 15 | end
i: 16 | n_features : 14 | start
i: 16 | n_features : 14 | end
i: 16 | n_features : 13 | start
i: 16 | n_features : 13 | end
i: 16 | n_features : 12 | start
i: 16 | n_features : 12 | end
i: 16 | n_features : 11 | start
i: 16 | n_features : 11 | end
i: 16 | n_features : 10 | start
i: 16 | n_features : 10 | end
i: 16 | n_features : 9 | start
i: 16 | n_features : 9 | end
i: 16 | n_features : 8 | start
i: 16 | n_features : 8 | end
i: 16 | n_features : 7 | start
i: 16 | n_features : 7 | end
i: 16 | n_features : 6 | start
i: 16 | n_features : 6 | end
i: 16 | n_features : 5 | start
i: 16 | n_features : 5 | end
i: 17 | n_features : 20 | start
i: 17 | n_features : 20 | end
i: 17 | n_features : 19 | start
i: 17 | n_features : 19 | end
i: 17 | n_features : 18 | start
i: 17 | n_features : 18 | end
i: 17 | n_features : 17 | start
i: 17 | n_features : 17 | end
i: 17 | n_features : 16 | start
i: 17 | n_features : 16 | end
i: 17 | n_features : 15 | start
i: 17 | n_features : 15 | end
i: 17 | n_features : 14 | start
i: 17 | n_features : 14 | end
i: 17 | n_features : 13 | start
i: 17 | n_features : 13 | end
i: 17 | n_features : 12 | start
i: 17 | n_features : 12 | end
i: 17 | n_features : 11 | start
i: 17 | n_features : 11 | end
i: 17 | n_features : 10 | start
i: 17 | n_features : 10 | end
i: 17 | n_features : 9 | start
i: 17 | n_features : 9 | end
i: 17 | n_features : 8 | start
i: 17 | n_features : 8 | end
i: 17 | n_features : 7 | start
i: 17 | n_features : 7 | end
i: 17 | n_features : 6 | start
i: 17 | n_features : 6 | end
i: 17 | n_features : 5 | start
i: 17 | n_features : 5 | end
i: 18 | n_features : 20 | start
i: 18 | n_features : 20 | end
i: 18 | n_features : 19 | start
i: 18 | n_features : 19 | end
i: 18 | n_features : 18 | start
i: 18 | n_features : 18 | end
i: 18 | n_features : 17 | start
i: 18 | n_features : 17 | end
i: 18 | n_features : 16 | start
i: 18 | n_features : 16 | end
i: 18 | n_features : 15 | start
i: 18 | n_features : 15 | end
i: 18 | n_features : 14 | start
i: 18 | n_features : 14 | end
i: 18 | n_features : 13 | start
i: 18 | n_features : 13 | end
i: 18 | n_features : 12 | start
i: 18 | n_features : 12 | end
i: 18 | n_features : 11 | start
i: 18 | n_features : 11 | end
i: 18 | n_features : 10 | start
i: 18 | n_features : 10 | end
i: 18 | n_features : 9 | start
i: 18 | n_features : 9 | end
i: 18 | n_features : 8 | start
i: 18 | n_features : 8 | end
i: 18 | n_features : 7 | start
i: 18 | n_features : 7 | end
i: 18 | n_features : 6 | start
i: 18 | n_features : 6 | end
i: 18 | n_features : 5 | start
i: 18 | n_features : 5 | end
i: 19 | n_features : 20 | start
i: 19 | n_features : 20 | end
i: 19 | n_features : 19 | start
i: 19 | n_features : 19 | end
i: 19 | n_features : 18 | start
i: 19 | n_features : 18 | end
i: 19 | n_features : 17 | start
i: 19 | n_features : 17 | end
i: 19 | n_features : 16 | start
i: 19 | n_features : 16 | end
i: 19 | n_features : 15 | start
i: 19 | n_features : 15 | end
i: 19 | n_features : 14 | start
i: 19 | n_features : 14 | end
i: 19 | n_features : 13 | start
i: 19 | n_features : 13 | end
i: 19 | n_features : 12 | start
i: 19 | n_features : 12 | end
i: 19 | n_features : 11 | start
i: 19 | n_features : 11 | end
i: 19 | n_features : 10 | start
i: 19 | n_features : 10 | end
i: 19 | n_features : 9 | start
i: 19 | n_features : 9 | end
i: 19 | n_features : 8 | start
i: 19 | n_features : 8 | end
i: 19 | n_features : 7 | start
i: 19 | n_features : 7 | end
i: 19 | n_features : 6 | start
i: 19 | n_features : 6 | end
i: 19 | n_features : 5 | start
i: 19 | n_features : 5 | end
i: 20 | n_features : 20 | start
i: 20 | n_features : 20 | end
i: 20 | n_features : 19 | start
i: 20 | n_features : 19 | end
i: 20 | n_features : 18 | start
i: 20 | n_features : 18 | end
i: 20 | n_features : 17 | start
i: 20 | n_features : 17 | end
i: 20 | n_features : 16 | start
i: 20 | n_features : 16 | end
i: 20 | n_features : 15 | start
i: 20 | n_features : 15 | end
i: 20 | n_features : 14 | start
i: 20 | n_features : 14 | end
i: 20 | n_features : 13 | start
i: 20 | n_features : 13 | end
i: 20 | n_features : 12 | start
i: 20 | n_features : 12 | end
i: 20 | n_features : 11 | start
i: 20 | n_features : 11 | end
i: 20 | n_features : 10 | start
i: 20 | n_features : 10 | end
i: 20 | n_features : 9 | start
i: 20 | n_features : 9 | end
i: 20 | n_features : 8 | start
i: 20 | n_features : 8 | end
i: 20 | n_features : 7 | start
i: 20 | n_features : 7 | end
i: 20 | n_features : 6 | start
i: 20 | n_features : 6 | end
i: 20 | n_features : 5 | start
i: 20 | n_features : 5 | end
     Dataset  n_features    CV_RMSE     CV_R2  Test_RMSE   Test_R2
0          1          20  11.581810  0.605055  10.769291  0.783163
1          1          19  10.887987  0.636363  11.247109  0.763495
2          1          18  11.426146  0.604861  10.814181  0.781352
3          1          17  11.661912  0.589541  10.668937  0.787186
4          1          16  11.834954  0.565554  11.477867  0.753691
..       ...         ...        ...       ...        ...       ...
315       20           9  11.661070  0.474292  14.908723  0.626180
316       20           8  11.726968  0.475549  15.060784  0.618516
317       20           7  11.395457  0.524472  14.641874  0.639442
318       20           6  11.270757  0.533212  14.847779  0.629230
319       20           5  11.485316  0.506175  14.692548  0.636942

[320 rows x 6 columns]
